title,date,apply,location,company,hire_time,graduate_time,company_industry,company_size,salary,qualifications
RA DRI Silicon Valley Intern,06-04-2025,https://jobright.ai/jobs/info/67f28aca335228edcad1d91e?utm_source=1099&utm_campaign=Software Engineer,"Santa Clara, CA",Ericsson,,,"Information Technology,Internet",10000+,$44-$57 /hr,"1. Ongoing PhD studies or an MSc degree in Computer Science, AI, or a related discipline – particularly with an emphasis on visual media technologies
2. Knowledge and familiarity with certain areas of media compression, computer vision, and applied AI technologies such as AI-based compression or quality assessment technologies
3. Ability to prototype, demonstrate and publish their research"
"Full Stack Developer, Network Software - Intern (Spring 2025)",06-04-2025,https://jobright.ai/jobs/info/6749631c818aa0a84e66a12a?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
San Francisco, CA
San Francisco",Astranis Space Technologies,2025-Spring,,"Aerospace,Internet",251-500,$29-$29 /hr,"1. Currently pursuing a B.S. or M.S. in Computer Science, Electrical or Computer Engineering, or equivalent technical degree
2. Experience with Django or similar frameworks
3. Experience working with relational/SQL databases (e.g. Postgres)
..."
Software Engineering Intern,06-04-2025,https://jobright.ai/jobs/info/67f274b56b87e00b8a519980?utm_source=1099&utm_campaign=Software Engineer,"Quincy, MA",Granite Telecommunications,,,"Business Development,Fitness",1001-5000,,"1. Self-starter, goal-oriented, ability to work independently without micromanagement
2. Strong drive to learn front-end web development skills using Typescript, JSX, TailwindCSS
3. Familiarity with Python
..."
IT Intern – Quality Assurance and Automated Testing,06-04-2025,https://jobright.ai/jobs/info/67b8d76b008cd5df56055eff?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Boston, MA
New York, United States
Fairfield County, CT
Massachusetts, United States
Manhattan, NY
Manchester, CT
Providence County, RI
New Jersey, United States",Bob's Discount Furniture,,,"Furniture,Home Decor",1001-5000,$30-$30 /hr,"1. Currently pursuing or recently completed a degree in Computer Science, Information Technology, or a related field.
2. Basic understanding of software development lifecycle (SDLC) and QA methodologies.
3. Strong analytical and problem-solving skills.
..."
SVG Software Intern (Summer 2025),06-04-2025,https://jobright.ai/jobs/info/67f2458f0beae0f9cd924420?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
San Jose, CA
Burlington, MA",Cadence,2025-Summer,,"Aerospace,Electronic Design Automation (EDA)",5001-10000,,"1. Currently pursuing BS or MS in Computer Science, Computer Engineering, Electrical Engineering or equivalent
2. Basic knowledge of software programming in C++/C
3. Python programming
..."
IT SAP Intern,05-04-2025,https://jobright.ai/jobs/info/67b8d76b008cd5df56055ef8?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Massachusetts, United States
New Jersey, United States
Fairfield County, CT
Providence County, RI
Manhattan, NY
New York, United States
Boston, MA
Manchester, CT",Bob's Discount Furniture,,,"Furniture,Home Decor",1001-5000,$33 /hr,"1. Must hold a relevant degree, or should be working towards completion of a relevant degree, such as Bachelor’s or Master’s degree in Computer Science or Information Technology or Business with emphasis on Technology.
2. Proficiency in MSOffice especially MS Excel.
3. Familiarity with IT terminology, ERP, documentation, business processes and technical writings.
..."
Global Improvement Intern,05-04-2025,https://jobright.ai/jobs/info/67f1d92201be1d135290d452?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Austin, TX
Austin, TX, United States",Oracle,,,"Data Governance,Data Management",10000+,,"1. Possess a combination of technical, analytical, and interpersonal skills
2. Bachelor's student in industrial engineering, business analytics, management information systems, or a related field
3. A knowledge of production methods, processes, and systems
..."
IT Application Developer Co-Op,05-04-2025,https://jobright.ai/jobs/info/67d4ca5ce81ed67d78af849f?utm_source=1099&utm_campaign=Software Engineer,"Chaska, MN",Entegris,July,2025-December,"Advanced Materials,Chemical",5001-10000,$20-$30 /hr,"1. Strong analytical, team-oriented, communication, and organizational skills
2. Inquisitive and motivated to ask questions and seek answers
3. Must be enrolled in an undergraduate program with a graduation date of December 2025 or later
..."
Software Engineering Internship - Summer 2025,05-04-2025,https://jobright.ai/jobs/info/67a8382eac67ff7fc0991b56?utm_source=1099&utm_campaign=Software Engineer,"Fort Wayne, IN",IDEMIA,2025-May,2025,"Identity Management,Information Technology",10000+,,"1. You are a rising junior, senior, or recent graduate majoring in Computer Science, Computer Programming, Software Engineering or related curriculum with a minimum GPA of 3.0
2. Must be authorized to work in the US
3. Basic knowledge (demonstrated experience) in the following programming languages: HTML5, JavaScript, CSS, Java Server / Client, C, C++, C#, Java or Python
..."
Intern - Software Test Engineer (Summer 2025),05-04-2025,https://jobright.ai/jobs/info/67c14b71d2160f0ef304ad77?utm_source=1099&utm_campaign=Software Engineer,"New York, NY","Persistent Systems, LLC",2025-Summer,,Computer,51-100,$25-$30 /hr,"1. Must be working towards Bachelor’s Degree in Computer Science or a related field or equivalent experience
2. Experience participating in software test requirements
3. Experience with process improvement, including driving and enhancing data and process quality
..."
Test Engineer Co-Op,05-04-2025,https://jobright.ai/jobs/info/67d4e4dc193fdc08a0e96995?utm_source=1099&utm_campaign=Software Engineer,"Chaska, MN",Entegris,July,2025,"Advanced Materials,Chemical",5001-10000,$20-$30 /hr,"1. Currently enrolled student
2. Available to work 40 hours a week, M-F (8a-5p) beginning in July through December
3. Familiar with the university’s requirements to participate in a co-op program
..."
Data Center Infrastructure Engineer Intern,05-04-2025,https://jobright.ai/jobs/info/677e9e60a14a1e6c435f1ca6?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Umatilla, OR
Hermiston, OR
Herndon, VA
Dublin, OH
Columbus, OH",Amazon Web Services (AWS),2024-Summer,2025-December / 2026-September,"Computer,Consulting",10000+,,"1. Currently working towards a Bachelor’s or Master's Degree in Electrical Engineering, Mechanical Engineering, Architecture, Civil Engineering or Structural Engineering or other equivalent technical discipline with a graduation conferral date between December 2025 and September 2026.
2. Previous knowledge of Power Systems, Fluid Dynamics and/or Thermodynamics."
Flight Software Engineer (Comms) Intern  - Summer 2025,05-04-2025,https://jobright.ai/jobs/info/67d49b190fb231c2e4d6ff9d?utm_source=1099&utm_campaign=Software Engineer,"Atlanta, GA",Hermeus,2025-Summer,,"Aerospace,Air Transportation",101-250,$22-$33 /hr,"1. Hands-on experience with writing software, managing networks and interfacing with RF systems.
2. Must be currently enrolled in an accredited college or university (Undergraduate student or enrolled in a Master's or Ph.D. program)
3. Strong understanding of engineering first principles
..."
Software Engineer Intern - Data,05-04-2025,https://jobright.ai/jobs/info/67d49b190fb231c2e4d7019a?utm_source=1099&utm_campaign=Software Engineer,"Santa Clara, CA",Plus,,,"Artificial Intelligence (AI),Autonomous Vehicles",251-500,$19-$65 /hr,"1. MS or PhD student in Computer Science, Data Science, or a related field.
2. Demonstrated experience in software development, preferably in a web environment.
3. Proficiency in programming languages such as Python or JavaScript.
..."
Software Engineer II (Intern) United States,05-04-2025,https://jobright.ai/jobs/info/67f1e8d15de146b94b028cf8?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
San Jose, CA
Raleigh, NC",Cisco,,,"Communications Infrastructure,Enterprise Software",10000+,$44K-$130K /yr,"1. Including but not limited to an upcoming graduate of a technical or certification program from a Technical Boot Camp, Apprenticeship, Community College or 4-Year University.
2. Recently completed or actively enrolled in a Master's degree program in Computer Science, Software Engineering, Computer Engineering, Electrical Engineering or related program or other academic certification
3. Up-to-date on programming and scripting languages: C/C++, Python, Java
..."
"Software Engineer Intern, Manage Money (Summer 2025)",05-04-2025,https://jobright.ai/jobs/info/67d49df622f30839490541d1?utm_source=1099&utm_campaign=Software Engineer,"San Francisco, CA",Chime,2025-Summer,,"Banking,Financial Services",1001-5000,$34-$49 /hr,"1. Currently pursuing a Bachelor’s or Masters degree in Computer Science, Software Engineering or a related field
2. Strong organizational, analytical, interpersonal, oral, and written communication skills
3. Creative thinker and self starter with a passion for consumer FinTech
..."
Backend Software Engineer Graduate (TikTok Eng - Backend Online Infra Team) - 2025 Start (BS/MS),05-04-2025,https://jobright.ai/jobs/info/67d43e18d51e8027ac3d48e6?utm_source=1099&utm_campaign=Software Engineer,"San Jose, CA",TikTok,2025,2025,"Content Creators,Content Discovery",10000+,$116K-$177K /yr,"1. Bachelor’s or Master’s degree in Computer Science, Software Engineering, or a related field.
2. Strong understanding of data structures, algorithms, and computer science fundamentals.
3. Proficiency in programming languages such as Java, Python, Go, or C++.
..."
Quality Assurance Lab Analyst Co-Op,05-04-2025,https://jobright.ai/jobs/info/67d4ca5ce81ed67d78af84a3?utm_source=1099&utm_campaign=Software Engineer,"Bedford, MA",Entegris,July,2025-December / 2026,"Advanced Materials,Chemical",5001-10000,$20-$30 /hr,"1. Has taken general chemistry and organic chemistry courses, especially with chemistry lab experience.
2. Has a strong interest in learning advanced analytical chemistry tools.
3. Motivated to make a positive impact.
..."
OrangeWorks Software Engineering Internship - Fall 2025,05-04-2025,https://jobright.ai/jobs/info/67e7cd54c53f3fc249e37f0a?utm_source=1099&utm_campaign=Software Engineer,"Atlanta, GA",The Home Depot,2025-Fall,,"E-Commerce,Home and Garden",10000+,,"1. Must be eighteen years of age or older.
2. Must be legally permitted to work in the United States.
3. The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to the job.
..."
Sales Applications Engineer Intern,05-04-2025,https://jobright.ai/jobs/info/67bda7579a3f6bafe8c98930?utm_source=1099&utm_campaign=Software Engineer,"Plymouth, MN",Banner Engineering,,,"Electronics,Manufacturing",1001-5000,$20-$28 /hr,"1. Current student who’s pursuing an Associate, Bachelor’s or Master’s degree
2. Experience using Microsoft Office Suite programs (Word, Excel, and PowerPoint)
3. Able to take direction and proceed independently
..."
"Software Engineering Intern, Arene Advanced Development",05-04-2025,https://jobright.ai/jobs/info/67f101ee994402990d46015f?utm_source=1099&utm_campaign=Software Engineer,"Sunnyvale, CA",Woven by Toyota,,,"Automotive,Autonomous Vehicles",,$30-$55 /hr,"1. Working towards a B.S., M.S. or Ph.D. in Computer Science, Electrical Engineering, or a related field with software engineering-relevant coursework
2. Strong C++ and/or Python programming skills
3. Familiarity with Object-Oriented Programming (OOP)
..."
Video Software Intern,04-04-2025,https://jobright.ai/jobs/info/67f0da9a55ffd5d76d84538e?utm_source=1099&utm_campaign=Software Engineer,"Salt Lake City, UT",Cosm,,,"Content,Information Technology",51-100,,"1. Junior or Senior in a Computer Science, Computer Engineering, or similar program.
2. Coursework in C++.
3. Understanding of basic software architecture principles.
..."
Software Intern,04-04-2025,https://jobright.ai/jobs/info/67f0c1c3730b5826011939bf?utm_source=1099&utm_campaign=Software Engineer,"Irvine, CA",Canon USA,2025-Summer,2025,"Consumer Electronics,Electronics",10000+,,"1. A current student pursuing a Bachelor’s degree (or above) as of the Summer 2025, enrolled in pursuit of a degree in Data Science, Business Analytics, Statistics, Mathematics or a related field.
2. Have excellent written and verbal communication skills, strong computer skills, including MS Word, Excel, and PowerPoint.
3. Team player who can also work independently.
..."
Software Development Internship for Video Surveillance Software,04-04-2025,https://jobright.ai/jobs/info/67f0bea51815b408de353812?utm_source=1099&utm_campaign=Software Engineer,"Norfolk, VA",IPConfigure Inc.,,,"Security,Software",Nov-50,,"1. Actively pursuing a degree in a relevant discipline (e.g., Computer Science, Electrical or Computer Engineering, Mathematics, etc.) at an accredited Virginia university.
2. Successful applicants will typically be third or fourth year undergraduate students, graduate students, or recent graduates.
3. Complete a technical assessment in order to show competence in C++, Java, or JavaScript.
..."
Software Engineer Intern (Recommendation Infra - Data-Arch-TikTok US) - 2025 Summer (PhD),04-04-2025,https://jobright.ai/jobs/info/67f0a2d128a38bd8c6056997?utm_source=1099&utm_campaign=Software Engineer,"Seattle, WA",ByteDance,2025-May,2025,"Content,Data Mining",10000+,$57-$72 /hr,"1. Currently pursuing PhD in Computer Science or a related technical discipline
2. Able to commit to working for 12 weeks during Summer 2025
3. Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment.
..."
IT QA Intern,04-04-2025,https://jobright.ai/jobs/info/67f0a2d128a38bd8c6056a0d?utm_source=1099&utm_campaign=Software Engineer,"Des Moines, IA",Kum & Go,2025-June,2025,"E-Commerce,Food and Beverage",1001-5000,$15-$15 /hr,"1. A full-time college student that has completed their sophomore year by the beginning of the internship.
2. Currently enrolled at an accredited university seeking a degree related to the position.
3. Must be authorized to work in the U.S.
..."
"Customer Firmware Engineer Intern (Masters, Summer 2025)",04-04-2025,https://jobright.ai/jobs/info/67f0a2d128a38bd8c6056aaf?utm_source=1099&utm_campaign=Software Engineer,"Irvine, CA",Sandisk,2025-Summer,2026-May / 2026-June,"Data Storage,Manufacturing",5001-10000,,"1. Currently pursuing a Master's degree in Computer Science, Computer Engineering, Electrical Engineering, or a related field with completion of May/June 2026 or beyond.
2. Available to work full-time Monday - Friday for the duration of the internship.
3. Position is expected to be hybrid, working primarily onsite in our Irvine, CA location. Relocation will not be offered for this position."
Intern/Co-op - Information Technology (Fall 2025),04-04-2025,https://jobright.ai/jobs/info/673dc65dce731a1e1a130c3c?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Findlay, OH
San Antonio, TX",Marathon Petroleum Corporation,2025-Fall,,Oil and Gas,10000+,$23-$26 /hr,"1. Desired Majors: Computer Science & Engineering; Computer Science & Engineering Technology; Management Information Systems; Computer Information Systems; Information Systems & Analytics; Computer Engineering; Software Engineering and Computer Science; and other related IT disciplines
2. Strong academic performance
3. Candidates must be authorized to work in the US on a full-time indefinite basis without the need for employment visa sponsorship now or in the future.
..."
Backend Software Engineer Intern (TikTok Search - Business Infra) - 2025 Summer (BS/MS),04-04-2025,https://jobright.ai/jobs/info/67d2e8ec96cd410ae1de9d3b?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
San Jose, CA
San Jose",TikTok,2025-May,2025-December,"Content Creators,Content Discovery",10000+,$45-$60 /hr,"1. Currently enrolled in an undergraduate, graduate, or master’s program in Software Development, Computer Science, Computer Engineering, or a related technical field.
2. Available to work for 12 weeks in Summer 2025
3. Strong problem-solving and analytical skills with a passion for backend services development.
..."
Frontend Engineer Intern,04-04-2025,https://jobright.ai/jobs/info/67f08efa2965e48a70af88cd?utm_source=1099&utm_campaign=Software Engineer,"Foster City, CA",Zoox,,,"Artificial Intelligence (AI),Autonomous Vehicles",1001-5000,$6500-$9500 /mon,"1. Experience in software engineering and front-end application development
2. Experience with modern web frameworks (e.g. react, angular, vue), python API frameworks (e.g. FastAPI, Django), and writing high-quality backend Python code
3. Proficiency in data query languages and tools, e.g. SQL, NoSQL
..."
IT Application Development Coop (Fall 2025),04-04-2025,https://jobright.ai/jobs/info/67f07b5ec2d841b76fca20e3?utm_source=1099&utm_campaign=Software Engineer,"Miamisburg, OH",Yaskawa Motoman,2025-September,2025,"Industrial Automation,Machinery Manufacturing",501-1000,,"1. Develop web and console applications per documented specifications.
2. Develop embedded customizations, queries, and reports in business system per user specifications.
3. Document application code.
..."
Software Engineer Intern,04-04-2025,https://jobright.ai/jobs/info/67f07b5ec2d841b76fca2391?utm_source=1099&utm_campaign=Software Engineer,"Boston, MA",Starburst,2025-June,,"Analytics,Big Data",501-1000,$30-$30 /hr,"1. Passion for Software Engineering
2. Rising Senior or recent graduate
3. Experience developing software in Java
..."
Software Engineer Intern (Ads Infra) - 2025 Summer (BS/MS),04-04-2025,https://jobright.ai/jobs/info/67d2df55fb11b68fc00d8724?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
San Jose, CA
San Jose",TikTok,2025-May,,"Content Creators,Content Discovery",10000+,$45-$60 /hr,"1. Pursuing a Bachelor's or Master's degree in computer science or related technical disciplines.
2. Strong Computer Science fundamentals (algorithms, data structures, software design) and problem-solving skills.
3. Solid coding skills and a good understanding of algorithms, especially causal inference, uplift model, and deep learning.
..."
Digital Applications Team Co-op,04-04-2025,https://jobright.ai/jobs/info/67f064f7a0a05eaa9162c0ba?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Raynham, MA
Raritan, NJ",Johnson & Johnson,2025-Fall,2025,"Health Care,Medical Device",10000+,,"1. Candidates must be enrolled in an accredited university, pursuing a bachelor's degree in data science, Computer Science, Software Engineering, or any system engineering related field.
2. Able to work in the US and must not require sponsorship for employment visa status now or in the future (e.g., FI, H1-B status).
3. Must not be a freshman, or a senior graduating prior to program end date (Seniors must be willing/allowed to extend graduation date).
..."
Software Engineering Intern,04-04-2025,https://jobright.ai/jobs/info/67f056db48a2e927501cb61e?utm_source=1099&utm_campaign=Software Engineer,"Hercules, CA",Bio-Rad Laboratories,,,"Biotechnology,Health Care",5001-10000,$25-$25 /hr,"1. Currently enrolled as an undergraduate (sophomore/junior) student pursuing a degree in Computer Science, Computer Engineering, or equivalent.
2. Must have a 3.0 cumulative overall GPA or better (on a 4.0 scale).
3. Proficient in C/C++, C#, .NET, Python.
..."
IT Application Development Coop (Fall 2025),04-04-2025,https://jobright.ai/jobs/info/67f0626045d1bddedadfa857?utm_source=1099&utm_campaign=Software Engineer,"Miamisburg, OH","Yaskawa America, Inc. -  Drives & Motion Division",2025-September,2025,"Network Hardware,Technical Support",501-1000,,"1. Develop web and console applications per documented specifications.
2. Develop embedded customizations, queries, and reports in business system per user specifications.
3. Document application code.
..."
Software Development Co-Op - Fall 2025,04-04-2025,https://jobright.ai/jobs/info/67f061dc452962cb4173d952?utm_source=1099&utm_campaign=Software Engineer,"Cincinnati, OH",Medpace,2025-Fall,2025,"Biotechnology,Pharmaceutical",5001-10000,,"1. Qualified candidate will be working towards a Bachelor’s Degree in Computer Science or a related field
2. Excellent communication skills
3. Excellent analytical and problem solving skills"
Software QA Test Engineer Intern - Fall 2025,04-04-2025,https://jobright.ai/jobs/info/67f053f19bc6ac468daac70e?utm_source=1099&utm_campaign=Software Engineer,"Cincinnati, OH",Medpace,2025-Fall,2025,"Biotechnology,Pharmaceutical",5001-10000,,"1. Qualified candidate will be working towards a bachelor’s degree in Computer Science, Information Systems or a related field
2. Excellent computer skills, especially a strong knowledge of Microsoft Word and Excel
3. Ability to learn test-related tools for software testing
..."
Software Engineer Co-Op - Summer 2025,04-04-2025,https://jobright.ai/jobs/info/67f056db48a2e927501cb6a8?utm_source=1099&utm_campaign=Software Engineer,"Carrollton, TX",Lennox,2025-Summer,,"Consumer Goods,Electronics",10000+,,"1. Strong written and verbal communication
2. Proficiency in MS Office
3. Knowledge of principle concepts for the role"
"SIP - MCS - Feder, Brandon - 4.4.25.",04-04-2025,https://jobright.ai/jobs/info/67f0406c2f389ebb3f32184f?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Lemont, IL USA
On-site",Argonne National Laboratory,,,"Energy,Security",1001-5000,,"1. Must be currently enrolled full-time at an accredited institution and have completed at least one semester of schooling by the start of the program.
2. Must be 18 years or older at the time the appointment begins.
3. Must possess a cumulative GPA of 3.0 on a 4.0 scale.
..."
Functional ERP Intern (Summer 2025),04-04-2025,https://jobright.ai/jobs/info/67f0531c6abcbbdab9e1e056?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Omaha, NE
United States-Nebraska-Omaha",HDR,2025-Summer,,"Architecture,Consulting",5001-10000,,"1. Must be currently enrolled in an undergraduate or graduate program
2. Attention to detail a must
3. Must possess strong problem-solving and communication skills
..."
"Integration and Test Engineering Intern Level D (Palm Bay, FL)",04-04-2025,https://jobright.ai/jobs/info/67f0531c6abcbbdab9e1e018?utm_source=1099&utm_campaign=Software Engineer,"Palm Bay, FL",L3Harris Technologies,,,"Commercial,Information Technology",10000+,,"1. Pursuing a Bachelor's Degree in Electrical Engineering, Computer Science, Computer Engineering, or other related field
2. GPA of 3.0 or greater"
"Compute Platform Software Engineer Intern, Summer 2025",04-04-2025,https://jobright.ai/jobs/info/67f0531c6abcbbdab9e1e0b2?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Boston, MA
Boston","Arrowstreet Capital, Limited Partnership",2025-Summer,2026,"Financial Services,Venture Capital",251-500,,"1. Enrolled in an undergraduate program studying computer science, software engineering, computer engineering, mathematics, data science, or a related discipline. Expected degree completion within a year of the internship.
2. Applied algorithmic and systems engineering experience through academic projects
3. Experience using Python or another object-oriented language
..."
Great Tables Internship,04-04-2025,https://jobright.ai/jobs/info/67f0531c6abcbbdab9e1e137?utm_source=1099&utm_campaign=Software Engineer,United States,Posit PBC,2025-June,,"Consulting,Software",251-500,$25-$25 /hr,"1. Applicants must be residents of the United States and legally authorized to work in the US.
2. Familiarity with GitHub.
3. Some experience coding in Python.
..."
Software Engineering Intern (C#),04-04-2025,https://jobright.ai/jobs/info/67f032916f4a550284a23901?utm_source=1099&utm_campaign=Software Engineer,"Chandler, AZ",Garmin,,,"Consumer Electronics,Electronics",5001-10000,,"1. Completed coursework in Computer Science, Electrical Engineering, Computer Engineering, or a related field
2. Excellent academics (cumulative GPA greater than or equal to 3.0 as a general rule)
3. Must possess relevant experience and/or training in languages such as C, C++, C# or Java
..."
Fall 2025 Intern - Software Development - Mechanical (Bachelors),04-04-2025,https://jobright.ai/jobs/info/67c946e53c39e90eacbecb13?utm_source=1099&utm_campaign=Software Engineer,"Austin, TX",Ansys,2025-August,2025,"Enterprise Software,Information Services",1001-5000,,"1. Pursuing a bachelor degree in Mechanical/Civil/Industrial Engineering, Computer Science, or related technical degree
2. GPA of 3.0 or higher in the major study
3. Currently enrolled in a full-time degree program and returning to university after the completion of the internship program
..."
Fall 2025 Intern - Software Testing - Design (Bachelor's),04-04-2025,https://jobright.ai/jobs/info/67c92a1392abaeaf4ea244e2?utm_source=1099&utm_campaign=Software Engineer,"Canonsburg, PA",Ansys,2025-August,2025,"Enterprise Software,Information Services",1001-5000,,"1. Pursuing a BS in Mechanical engineering, Electric engineering, AEM, Computer Engineering, Computer Science or related technical degree with a GPA of 3.0 or higher.
2. Currently enrolled in a full-time degree program and returning to university after the completion of the co-op program.
3. Dedication to three (3) semester rotations for Engineers."
Apprentice Software Developer,04-04-2025,https://jobright.ai/jobs/info/67f02030330e4ca458eb39b9?utm_source=1099&utm_campaign=Software Engineer,"Arlington, VA",Catalyte,,,"Artificial Intelligence (AI),Enterprise Software",101-250,$12-$19 /hr,"1. Be at least 18 years old
2. Basic proficiency using a computer and the internet
3. Be a U.S. citizen or eligible to work in the U.S. for 30 continuous months. Catalyte does not offer visa assistance or sponsorship of any kind.
..."
Jr Software Quality Engineering Summer Intern,04-04-2025,https://jobright.ai/jobs/info/67f016d68dd4bef39a3aa583?utm_source=1099&utm_campaign=Software Engineer,"Hartford, CT",The Hartford,June,,"Auto Insurance,Commercial Insurance",10000+,,"1. Self-motivated with mature, professional, and ethical conduct
2. Excellent communicator, oral and written
3. Eager to learn new things and apply the information quickly to different situations
..."
Enterprise Digital Enablement Intern,04-04-2025,https://jobright.ai/jobs/info/67f0096341eed88aa39c3e51?utm_source=1099&utm_campaign=Software Engineer,"Hartford, CT",The Hartford,June,,"Auto Insurance,Commercial Insurance",10000+,,"1. Self-motivated with mature, professional, and ethical conduct
2. Excellent communicator, oral and written
3. Eager to learn new things and apply the information quickly to different situations
..."
Software Engineering Intern,04-04-2025,https://jobright.ai/jobs/info/67b7fcafd9a3e4b4aa3d2e3d?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
San Jose, CA
Pittsburgh, PA",Cadence,,,"Aerospace,Electronic Design Automation (EDA)",5001-10000,,"1. Pursuing B.S., M.S., or Ph.D. in electronics engineering, computer science or related field.
2. Proficiency in C++, with good knowledge of the language specification and debugging.
3. Proficiency in C++ or another object-oriented language, such as Python or Java.
..."
Software Engineering Intern,04-04-2025,https://jobright.ai/jobs/info/67ee2908fcf4cc1c3615d84a?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Tysons Corner, VA
Tysons, VA",Alarm.com,2025-Summer,,"Internet,Internet of Things",251-500,,"1. Currently pursuing a B.A. or B.S. degree in Computer Science, Information Technology, or a related field with strong academic performance.
2. Proficiency and strong understanding of object-oriented programming (OOP) concepts with Java, C#, Groovy, or Python.
3. Familiarity with version control systems (e.g., Git, Bitbucket) and collaborative development tools.
..."
"Research Aide - ESIA - Falls, DeShawn - 4.2.25",04-04-2025,https://jobright.ai/jobs/info/67efede368e7b0fe359cee87?utm_source=1099&utm_campaign=Software Engineer,"Lemont, IL USA",Argonne National Laboratory,,,"Energy,Security",1001-5000,$21.55-$30.17 /hr,"1. Must be currently enrolled full-time at an accredited institution and have completed at least one semester of schooling by the start of the program.
2. Must be 18 years or older at the time the appointment begins.
3. Must possess a cumulative GPA of 3.0 on a 4.0 scale.
..."
"Research Aide - LCF - Gupta, Sejal - 4.2.25.",04-04-2025,https://jobright.ai/jobs/info/67efede368e7b0fe359cf012?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Lemont, IL USA
On-site",Argonne National Laboratory,,,"Energy,Security",1001-5000,$23.91-$33.48 /hr,"1. Must be currently enrolled full-time at an accredited institution and have completed at least one semester of schooling by the start of the program.
2. Must be 18 years or older at the time the appointment begins.
3. Must possess a cumulative GPA of 3.0 on a 4.0 scale.
..."
Software Engineering Co-Op,04-04-2025,https://jobright.ai/jobs/info/67efede368e7b0fe359cee88?utm_source=1099&utm_campaign=Software Engineer,"United States, Boston, One Beacon Street",FactSet,,,"Analytics,Finance",10000+,,"1. Currently pursuing a degree in Computer Science or other engineering field
2. Strong problem-solving and analytical skills
3. Strong communication and interpersonal skills
..."
"Intern, Processing in Memory",04-04-2025,https://jobright.ai/jobs/info/67d39b5f047f86d6f6923221?utm_source=1099&utm_campaign=Software Engineer,"San Jose, CA",SK hynix America,2025-June,,,251-500,$25-$47 /hr,"1. Master's degree in Electrical Engineering, Computer Engineering, or a related field.
2. Strong understanding of memory architectures (e.g., DRAM, HBM) and their role in modern computing.
3. Knowledge of hardware/software co-design principles and memory hierarchy optimizations.
..."
Product Engineering Software Developer Intern,04-04-2025,https://jobright.ai/jobs/info/67f0031b1d84821d9cd7e3df?utm_source=1099&utm_campaign=Software Engineer,"New York, NY",IPC Systems,2025-June,2025,"Communications Infrastructure,Financial Services",1001-5000,,"1. Excellent written and verbal communication skills and will be comfortable reaching out for help from teammates when needed
2. Outstanding problem-solving skills, including the ability to look for performant problem solutions (memory and execution time)
3. Strong technical aptitude
..."
Software Engineering Intern,04-04-2025,https://jobright.ai/jobs/info/67ee4cad0b246514fef4dbd1?utm_source=1099&utm_campaign=Software Engineer,"Multi Location
Liberty Lake, WA
Spokane",F5,2025-May,2025,"Consumer Electronics,SaaS",5001-10000,$32-$48 /hr,"1. A current student enrolled in a technical discipline at a university or college pursuing a Bachelors, Masters or PhD in the US.
2. Preferred majors are Computer Science, Computer Engineering, Electrical Engineering, Applied and Computational Math Sciences or related disciplines.
3. Completed a Data Structures course in a modern, object-oriented programming language or possess equivalent knowledge.
..."
Co-Op - Connected Infotainment Validation,04-04-2025,https://jobright.ai/jobs/info/67d392c3a38a04cfc09ec5dd?utm_source=1099&utm_campaign=Software Engineer,"Chattanooga, TN","Volkswagen of America, Inc",,,"Automotive,Commercial",5001-10000,,"1. Experience with automotive infotainment control modules
2. Experience testing infotainment technology and the interaction with in-vehicle systems
3. Understanding of vehicle communication networks and the ability to capture communication traces
..."
Video Experience Software Engineer Intern (Global StreamingMedia) - 2025 Summer/Fall (PhD),04-04-2025,https://jobright.ai/jobs/info/67d1ba5873a1c3e193965174?utm_source=1099&utm_campaign=Software Engineer,"San Jose, CA",ByteDance,2025-Summer,,"Content,Data Mining",10000+,$75-$75 /hr,"1. PhD student in Computer Science, Mathematics, or a related technical field
2. Strong foundation in computer science, networking, and operating systems
3. Solid background in multimedia technologies, including image/signal processing, video codecs, or multimedia streaming
..."
